model,domain,k,num_axes,auc,ap,acc,f1,frac_of_full_auc
mae,diffusion,64,64,0.8156826562499999,0.8193188658804285,0.6591875,0.5117736592353836,1.0169605734722338
vit,forensynths_test,all,128,0.7004280882367321,0.7134483654194844,0.6106317436253085,0.44858617696770364,
vit,9gan,all,128,0.7033521697530865,0.708965213422836,0.5783611111111111,0.3182573545924096,
vit,diffusion,all,128,0.629960015625,0.615433462301348,0.5641875,0.3800124477638481,
vit,forensynths_test,1,1,0.5465869804884289,0.5371974416180375,0.5382158927793816,0.45756289784783266,0.7803613099874607
vit,9gan,1,1,0.6299275648148148,0.6420214996117322,0.5894444444444444,0.5370544383887741,0.8956076229009893
vit,diffusion,1,1,0.6457810156249999,0.6359555257492798,0.576,0.40480786102825056,1.0251142923480683
vit,forensynths_test,2,2,0.5723667026006856,0.562318425020075,0.5568762801799912,0.49234123537998187,0.8171669757584534
vit,9gan,2,2,0.6584399475308642,0.6729122533209349,0.5996666666666667,0.6298541195808506,0.9361454700026179
vit,diffusion,2,2,0.6473871875,0.6349168024505217,0.58275,0.4405899111781465,1.0276639333334672
vit,forensynths_test,4,4,0.5587644546966424,0.5726725234447194,0.5558602003128881,0.41266049567034935,0.7977470693719382
vit,9gan,4,4,0.6761035648148148,0.695899992500744,0.6233611111111111,0.5509818856177766,0.9612589452196653
vit,diffusion,4,4,0.6850891406249999,0.6719486818606388,0.5805,0.38747946705603215,1.0875121017725304
vit,forensynths_test,8,8,0.6227420626405116,0.6290297892099972,0.5797461413157428,0.4350540944864818,0.8890877923074324
vit,9gan,8,8,0.6541326388888888,0.6733888741359024,0.6020555555555556,0.5020853607674127,0.9300214985026971
vit,diffusion,8,8,0.6864152499999999,0.6743436662664817,0.58225,0.3773057574063723,1.0896171708913767
vit,forensynths_test,16,16,0.6460696921413999,0.6506166376683231,0.5796816283083077,0.3933800423640046,0.9223926095936917
vit,9gan,16,16,0.7020958672839506,0.7167901448794152,0.5876944444444444,0.3441876905403614,0.9982138357949804
vit,diffusion,16,16,0.67572884375,0.6682681098239166,0.556875,0.2725220603324441,1.0726535446532928
vit,forensynths_test,32,32,0.6638911051792489,0.6780233965697742,0.5958421366708062,0.4295048377916904,0.9478362109242907
vit,9gan,32,32,0.7218009074074074,0.7290654467173676,0.5801388888888889,0.3121103172074819,1.0262297302086911
vit,diffusion,32,32,0.647043328125,0.6328668057575335,0.555875,0.3163363478930152,1.0271180901585495
vit,forensynths_test,64,64,0.7003754544115484,0.7091047202504233,0.6100511265583923,0.45424585797480926,0.999924854776575
vit,9gan,64,64,0.7446817716049383,0.7485229850736277,0.6127777777777778,0.42205638474295193,1.0587608933748804
vit,diffusion,64,64,0.638328609375,0.6203005638775673,0.5604375,0.3602292367870463,1.0132843252626078
